dam_id,dam_name,latitude,longitude,old_csv_id,storage_capacity_m3,radius
id_070014,Al-Malik Fahd,19.6964,42.487117,1_King_Fahd,325000000,16894.5932
id_020019,Hali,18.7675,41.575,2_Hali,254000000,15024.22601
id_020018,Rabigh,22.821667,39.375833,12_Rabgh,220350000,14041.48606
id_120000,Baish,17.665556,42.6575,13_Bish,193644000,13203.98993
id_020017,Al-Marwani,22.17922,39.570881,14_Al-Marwani,183600000,12873.44119
id_020021,Al-Lith,20.51,40.477222,15_Al-Laith,88000000,9071.205613
id_130000,Najran,17.408056,44.014167,16_Najran,86000000,8972.480473
id_070016,Yabah,19.014722,41.643889,17_Yabah,80913300,8715.829744
id_020023,Qununa,19.255286,41.559011,18_Qanuna,79200000,8627.489621
id_070012,Tabalah,19.953934,42.143974,19_Tabalah,68410000,8046.521649
id_080012,Ardah,20.547222,41.289167,20_Arda,68000000,8023.530383
id_120003,Damad,17.198611,42.988056,3_Dhamad,55500000,7284.080203
id_120002,Jazan,17.048889,42.957222,21_Jazan,54200000,7202.361563
id_030036,Hadhawadha,24.420556,39.980556,22_Hazwazah,40000000,6232.636733
id_060010,Fihan,29.551667,43.398333,23_Fayhan,38099959,6089.916318
id_020016,Turabah Al-Jawfi,20.847191,41.429704,24_Turabah_Al-Jawfi,21800000,4668.706256
id_080011,Ardah Al-Jawfi,20.618724,41.298662,25_Arda_Al-Joufi,21000000,4586.354744
id_020015,Turabah,21.013245,41.504203,27_Turabah,20000000,4481.068027
id_030035,Al-Far'ah,24.480833,38.493333,26_Al-Far'ah,20000000,4481.068027
id_020058,Wadi Fatimah,21.725044,39.828568,28_Wadi_Fatimah,20000000,4481.068027
id_080010,Al-Aqiq,20.2367,41.5708,29_Al-Uqiq,19126142,4386.780355
id_030039,Al-Aqul Al-Hajari,24.31816,39.448696,30_Al-A'qool_Al-Hajari,17000000,4147.486161
id_080009,Al-Janabin,19.900253,41.710566,31_Al-Janabiyin,17000000,4147.486161
id_120005,Qasi,17.19179,42.878304,32_Qusi,15100000,3919.983924
id_080007,Thurad,20.1575,41.721389,33_Tharad,14136000,3798.802284
id_080005,Al-Ahsabah,19.699444,41.391667,34_Al-Ahsbah,11000000,3371.274978
id_060009,Ar'ar,30.811944,40.696389,35_Arar,10366000,3277.345236
id_020072,Liyah,21.217906,40.455117,40_Liya,10000000,3221.745711
id_020020,Al-Naqabiyah,21.068958,42.575023,39_Al-Naqbiyah,10000000,3221.745711
id_010073,Al-Halwah,23.451103,46.690972,41_Al-Halwah,10000000,3221.745711
id_070010,Atud,17.900556,42.471111,37_Atoud,10000000,3221.745711
id_070009,Marbah,17.903333,42.384722,36_Marbah,10000000,3221.745711
id_030021,Wasat Al-Jazl,26.558889,37.618056,38_Wust_Al-Jazl,10000000,3221.745711
id_070008,Tarjas,19.104167,42.295,42_Tarjis,9713800,3177.521501
id_010070,Hawtat Bani Tamim,23.525,46.793306,4_Hawtat_Bani_Tamim,9056604,3073.312903
id_020022,Al-Lith Al-Jawfi,20.477726,40.461032,43_Al-Laith_Al-Jawfi,8000000,2897.090706
id_120001,Baish Al-Jawfi,17.604935,42.620843,44_Bish_Al-Joufi,7200000,2755.380163
id_020001,Ghaya,21.78256944,39.27240556,45_Ghaia,7130000,2742.596234
id_070011,Marbah Al-Jawfi,17.850739,42.386114,46_Marbah_Al-Jawf,7000000,2718.678959
id_130001,Najran Al-Jawfi,17.475729,44.082575,48_Najran_Al-Jawfi,7000000,2718.678959
id_120004,Damad Al-Jawfi,17.154652,42.90467,47_Dhamad_Al-Joufi,7000000,2718.678959
id_080004,Alib Al-Jawfi,20.135706,41.016906,49_Alib_Al-Joufi,6600000,2643.590438
id_070007,Atud Al-Khamis,18.260411,42.715894,50_Al-Khamis,6240000,2573.944177
id_020077,Buwah,20.749444,41.028889,51_Bua,6052785,2536.891872
id_010072,Al-Hariq,23.671156,46.426503,52_Al-Hariq,6000000,2526.336835
id_020004,Burayman,21.64580833,39.25259722,53_Bureiman,5990000,2524.331731
id_050000,Al-Dhibiyah,28.094558,45.650503,54_Al-Dhaibiyah,5718024,2469.109456
id_020076,Al-Shaqqah,20.160673,40.838555,55_Al-Shaqah,5660000,2457.151193
id_010091,Al-Majma'ah,25.858056,45.275833,56_Al-Mishqar,5579200,2440.391467
id_050001,Hafar Al-Batin,28.012222,45.507222,57_Hafar_Al-Batin,5503925,2424.662929
id_020003,Daghbaj,21.66448056,39.25558889,58_Daghbij,5130000,2344.807124
id_080008,Thurad Al-Jawfi,20.175884,41.768703,59_Tharad_Al-Joufi,5000000,2316.332929
id_080014,Daqah Al-Jawfi,19.899722,41.113333,60_Duqah_Al-Joufi,5000000,2316.332929
id_020002,Am Hablayn,21.723042,39.238089,61_Um_Hablain,4970000,2309.707051
id_060008,Badanah,31.03,40.850833,62_Badnah,4678750,2244.259452
id_070101,Harjab,19.332222,42.835278,63_Harjab,4650000,2237.684557
id_100014,Al-Fari'ah,27.178889,37.035,64_Al-Fara'ah,4643000,2236.080491
id_020075,Al-Ghalah,20.394117,40.254865,65_Al-Ghalah,4400000,2179.589631
id_070082,Al-Madhah,18.787722,43.210619,66_Al-Mudhah,4250000,2143.899336
id_070006,Tandahah,18.312683,42.876847,67_Tandaha,4200000,2131.856271
id_060006,Gharabah,30.877363,40.835401,68_Gharabah,4124800,2113.601154
id_010071,Al-Ha'ir,24.419556,46.813167,69_Al-Hayir,3800000,2032.676429
id_020000,Marikh,21.82343333,39.24988889,70_Mareekh,3650000,1994.08039
id_060007,Aba Al-Qur,30.769641,41.47753,71_Aba_Al-Qur,3520000,1959.952593
id_010095,Al-Alab,24.774639,46.530889,78_Al-Alb,3000000,1816.356014
id_010068,Al-Rawdah,25.609444,45.510278,77_Al-Rawdah,3000000,1816.356014
id_070117,Aqdah,18.280428,42.864847,74_Aqdah,3000000,1816.356014
id_030018,Malal,24.370222,39.289222,75_Mall,3000000,1816.356014
id_020057,Faydat Al-Musallah,22.478472,40.733306,76_Faidat_Al-Musallih,3000000,1816.356014
id_090033,Al-Ha'it,25.963333,40.471111,72_Al-Hayt,3000000,1816.356014
id_070005,Al-Fawhah,19.748056,41.983333,73_Al-Fuha,3000000,1816.356014
id_080006,Al-Ahsabah Al-Jawfi,19.640554,41.34851,79_Al-Ahsbah_Al-Joufi,3000000,1816.356014
id_030020,Rim,24.062398,39.571199,80_Raym,2918500,1792.698583
id_090023,Al-Halifah,25.917556,40.759946,81_Al-Halifah,2768748,1748.308913
id_110009,Hasidah Al-Sharqiyah,31.244167,37.353333,82_Hasidah_Al-Sharqiyah,2600000,1696.752793
id_070099,Al-Fid,17.999178,43.428686,85_Al-Fayd,2500000,1665.36987
id_010094,Al-Ghil,22.600798,46.459552,87_Al-Ghayl,2500000,1665.36987
id_090032,Al-Wasitah,26.793333,41.733889,83_Al-Wusta,2500000,1665.36987
id_100019,Damh,28.568056,36.000556,84_Dham,2500000,1665.36987
id_120014,Shahdan,17.454776,42.736093,86_Shahdan,2500000,1665.36987
id_010065,Al-Ahmar,22.370833,46.116667,88_Al-Ahmar,2394450,1631.523024
id_020071,Kalakh,21.262717,40.782789,90_Kalakh,2300000,1600.566449
