date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1984-04-12,07:08:34,0.0,0.0,0.0
1984-05-30,07:09:23,0.0,0.0,0.0
1984-06-15,07:09:41,0.0,0.0,0.0
1984-07-17,07:10:10,0.0,0.0,0.0
1984-08-18,07:11:15,0.0,0.0,0.0
1984-11-22,07:11:16,1.0,1.0,0.0
1985-01-09,07:11:41,0.0,0.0,0.0
1985-03-30,07:11:46,2.0,2.0,0.0
1985-04-15,07:11:41,1.0,1.0,0.0
1985-11-09,07:10:00,20.0,20.0,0.0
1986-04-18,07:06:45,0.0,0.0,0.0
1986-05-20,07:05:55,41.0,0.009221932390061392,0.0
1986-06-21,07:04:57,0.0,0.0,0.0
1986-11-12,06:59:58,0.0,0.0,0.0
1987-01-15,07:01:06,0.0,0.0,0.0
1987-01-31,07:01:35,0.0,0.0,0.0
1987-03-04,07:02:51,0.0,0.0,0.0
1987-03-20,07:03:26,35.0,35.0,0.0
1987-04-05,07:04:00,0.0,0.0,0.0
1987-04-21,07:04:31,0.0,52.269285321008994,0.0
1987-05-07,07:04:59,0.0,0.0,0.0
1987-05-23,07:05:25,0.0,0.0,0.0
1987-06-08,07:05:48,0.0,0.0,0.0
1987-06-24,07:06:09,0.0,0.0,0.0
1987-08-11,07:07:19,2.0,2.0,0.0
1987-08-27,07:07:46,0.0,0.0,0.0
1987-09-12,07:08:10,0.0,0.0,0.0
1987-09-28,07:08:31,0.0,0.0,0.0
1987-10-14,07:08:50,10.0,10.0,0.0
1987-11-15,07:09:28,0.0,0.0,0.0
1988-01-02,07:10:13,45.0,100.0,0.0
1988-01-18,07:10:30,0.0,0.0,0.0
1988-03-06,07:11:14,3.0,3.0,0.0
1988-04-07,07:11:29,67.0,67.0,0.0
1988-04-23,07:11:33,0.0,0.0,0.0
1988-05-09,07:11:43,0.0,0.0,0.0
1988-05-25,07:11:50,5.0,5.0,0.0
1988-07-12,07:12:05,0.0,0.0,0.0
1988-07-28,07:12:08,0.0,0.0,0.0
1988-08-13,07:12:06,0.0,0.0,0.0
1988-08-29,07:12:11,0.0,0.0,0.0
1988-09-14,07:12:08,0.0,0.0,0.0
1988-11-01,07:12:00,16.0,16.0,0.0
1988-11-17,07:11:58,0.0,0.0,0.0
1988-12-03,07:11:56,0.0,0.0,0.0
1988-12-19,07:11:43,55.0,55.0,0.0
1989-01-04,07:11:42,4.0,4.0,0.0
1989-02-05,07:11:26,0.0,0.0,0.0
1989-03-09,07:10:55,21.0,21.0,0.0
1989-03-25,07:10:19,0.0,0.0,0.0
1989-04-10,07:10:32,47.0,100.0,0.0
1989-04-26,07:10:13,8.0,8.0,0.0
1989-05-28,07:09:44,1.0,100.0,0.0
1989-06-13,07:09:21,0.0,0.0,0.0
1989-07-15,07:08:46,0.0,0.0,0.0
1989-07-31,07:08:27,0.0,0.0,0.0
1989-08-16,07:08:03,0.0,0.0,0.0
1989-09-17,07:07:12,0.0,0.0,0.0
1989-10-03,07:07:03,0.0,0.0,0.0
1990-01-07,07:04:04,2.0,2.0,0.0
1990-02-08,07:03:07,0.0,0.0,0.0
1990-02-24,07:02:37,0.0,0.0,0.0
1990-03-12,07:02:03,15.0,15.0,0.0
1990-05-15,07:01:39,0.0,0.0,0.0
1990-05-31,07:01:34,0.0,0.0,0.006914117647058823
1990-06-16,07:01:33,0.0,0.0,0.0
1990-07-02,07:01:32,0.0,0.0,0.0
1990-08-19,07:01:20,0.0,0.0,0.0
1990-09-20,07:01:10,0.0,0.0,0.0
1990-10-06,07:00:57,0.0,0.0,0.0
1990-10-22,07:00:56,0.0,0.0,0.0
1990-11-07,07:00:52,0.0,0.0,0.0
1990-12-09,07:00:41,0.0,0.0,0.0
1990-12-25,07:01:02,10.0,0.41738427688297225,0.0
1991-01-10,07:01:28,0.0,0.0,0.0
1991-01-26,07:01:55,0.0,0.0,0.0
1991-02-11,07:02:06,14.0,14.0,0.0018
1991-02-27,07:02:25,50.0,50.0,0.0
1991-03-31,07:03:00,0.0,0.0,0.0
1991-04-16,07:03:20,0.0,0.0,0.0
1991-06-03,07:04:08,0.0,0.0,0.0
1991-07-21,07:04:47,0.0,0.0,0.0
1991-08-22,07:04:58,0.0,0.0,0.0
1991-09-07,07:05:13,0.0,0.0,0.0
1991-10-09,07:05:27,24.0,24.0,0.0
1991-11-10,07:05:36,1.0,1.0,0.0
1991-11-26,07:05:41,0.0,0.0,0.0
1991-12-12,07:05:51,0.0,0.0,0.0
1991-12-28,07:05:43,0.0,0.0,0.0
1992-01-13,07:05:39,15.0,100.0,0.0
1992-01-29,07:05:43,1.0,1.0,0.0
1992-03-17,07:05:35,31.0,100.0,0.010941176470588234
1992-04-18,07:05:20,0.0,0.0,0.0
