date,time,satellite,water_area_km2
2013-09-08,08:01:57,L8,0.0
2013-10-01,08:07:59,L8,0.0
2013-11-02,08:07:51,L8,0.0
2013-11-11,08:01:40,L8,0.0045388235294117
2013-11-18,08:07:46,L8,0.0269541176470588
2013-12-20,08:07:34,L8,0.0362364705882352
2014-03-26,08:06:24,L8,0.0
2014-04-04,08:00:07,L8,0.0
2014-09-02,08:06:13,L8,0.0
2014-09-18,08:06:14,L8,0.0
2014-10-04,08:06:18,L8,0.0
2014-11-21,08:06:16,L8,0.0136976470588235
2014-12-07,08:06:15,L8,0.0426388235294117
2014-12-23,08:06:14,L8,0.0614435294117647
2015-03-06,07:59:38,L8,0.0
2015-03-22,07:59:29,L8,0.0
2015-04-14,08:05:30,L8,0.0
2015-10-07,08:06:08,L8,0.0
2015-11-08,08:06:13,L8,0.0009
2015-11-24,08:06:16,L8,0.0595341176470588
2015-12-10,08:06:13,L8,0.0078847058823529
2015-12-26,08:06:15,L8,0.0451658823529411
2016-01-11,08:06:11,L8,0.0
2016-02-12,08:06:05,L8,0.0
2016-02-28,08:06:00,L8,0.0
2016-03-31,08:05:46,L8,0.0
2016-04-16,08:05:41,L8,0.0
2016-08-22,08:06:14,L8,0.0
2016-09-23,08:06:21,L8,0.0
2016-10-09,08:06:24,L8,0.0
2016-10-25,08:06:28,L8,0.0
2016-11-10,08:06:26,L8,0.0
2016-12-12,08:06:24,L8,0.0342847058823529
2016-12-28,08:06:21,L8,0.0561
2017-01-13,08:06:17,L8,0.0361341176470588
2017-01-29,08:06:11,L8,0.0160941176470588
2017-02-14,08:06:03,L8,0.0026047058823529
2017-03-02,08:05:57,L8,0.0
2017-03-29,08:22:08,Sentinel-2A,0.0
2017-04-03,08:05:40,L8,0.0
2017-04-08,08:13:05,Sentinel-2A,0.0
2017-04-18,08:11:49,Sentinel-2A,0.0
2017-10-12,08:06:24,L8,0.0
2017-10-28,08:06:25,L8,0.0
2017-11-13,08:06:22,L8,0.0154341176470588
2017-11-29,08:06:15,L8,0.0217976470588235
2017-12-15,08:06:17,L8,0.041435294117647
2018-01-16,08:06:09,L8,0.0316694117647058
2018-02-01,08:05:59,L8,0.0015811764705882
2018-03-05,08:05:47,L8,0.0
2018-03-21,08:05:38,L8,0.0
2018-05-23,08:21:55,Sentinel-2A,0.0009
2018-08-28,08:05:38,L8,0.0
2018-10-15,08:05:57,L8,0.0
2018-11-16,08:06:03,L8,0.0206541176470588
2018-12-14,08:22:21,Sentinel-2B,0.0166129411764705
2018-12-18,08:05:59,L8,0.0505305882352941
2018-12-29,08:22:21,Sentinel-2A,0.0054
2019-01-03,08:05:59,L8,0.040475294117647
2019-01-18,08:22:24,Sentinel-2A,0.0018
2019-01-19,08:05:56,L8,0.0119682352941176
2019-02-02,08:22:28,Sentinel-2B,0.0081
2019-02-04,08:05:52,L8,0.0456847058823529
2019-02-17,08:22:24,Sentinel-2A,0.0135
2019-02-20,08:05:50,L8,0.0009
2019-02-22,08:22:27,Sentinel-2B,0.0036
2019-03-08,08:05:45,L8,0.0
2019-03-14,08:22:25,Sentinel-2B,0.0
2019-03-19,08:22:25,Sentinel-2A,0.0009
2019-03-29,08:22:27,Sentinel-2A,0.0009
2019-04-03,08:22:30,Sentinel-2B,0.0
2019-04-13,08:22:32,Sentinel-2B,0.0009
2019-04-23,08:22:34,Sentinel-2B,0.0
2019-04-28,08:22:31,Sentinel-2A,0.0009
2019-05-11,08:05:38,L8,0.0
2019-05-13,08:22:36,Sentinel-2B,0.0009
2019-05-18,08:22:31,Sentinel-2A,0.0009
2019-05-23,08:22:36,Sentinel-2B,0.0
2019-06-07,08:22:30,Sentinel-2A,0.0
2019-06-22,08:22:36,Sentinel-2B,0.0009
2019-06-27,08:22:32,Sentinel-2A,0.0
2019-07-02,08:22:36,Sentinel-2B,0.0009
2019-07-12,08:22:36,Sentinel-2B,0.0009
2019-07-17,08:22:33,Sentinel-2A,0.0
2019-07-27,08:22:32,Sentinel-2A,0.0009
2019-08-01,08:22:35,Sentinel-2B,0.0009
2019-08-06,08:22:32,Sentinel-2A,0.0009
2019-08-11,08:22:34,Sentinel-2B,0.0018
2019-08-21,08:22:33,Sentinel-2B,0.0009
2019-08-26,08:22:29,Sentinel-2A,0.0009
2019-09-05,08:22:27,Sentinel-2A,0.0
2019-09-10,08:22:29,Sentinel-2B,0.0009
2019-09-15,08:22:26,Sentinel-2A,0.0018
2019-09-20,08:22:27,Sentinel-2B,0.0
2019-10-18,08:06:30,L8,0.0
2019-10-20,08:22:29,Sentinel-2B,0.0045
2019-10-25,08:22:31,Sentinel-2A,0.0045
2019-10-30,08:22:28,Sentinel-2B,0.0036
2019-11-03,08:06:30,L8,0.0
2019-11-19,08:06:26,L8,0.0174388235294117
2019-11-24,08:22:28,Sentinel-2A,0.0045
2019-11-29,08:22:23,Sentinel-2B,0.0054
2019-12-04,08:22:26,Sentinel-2A,0.0049129411764705
2019-12-05,08:06:26,L8,0.0324282352941176
2019-12-09,08:22:22,Sentinel-2B,0.0045
2019-12-19,08:22:22,Sentinel-2B,0.0009
2019-12-24,08:22:22,Sentinel-2A,0.0018
2020-01-06,08:06:19,L8,0.0469305882352941
2020-01-13,08:22:22,Sentinel-2A,0.0045
2020-01-22,08:06:15,L8,0.0407611764705882
2020-02-02,08:22:20,Sentinel-2A,0.0009
2020-02-07,08:06:10,L8,0.0081494117647058
2020-02-12,08:22:20,Sentinel-2A,0.0009
2020-02-17,08:22:23,Sentinel-2B,0.0018
2020-02-22,08:22:22,Sentinel-2A,0.0045
2020-02-27,08:22:25,Sentinel-2B,0.0063
