threshold_mcm,n_above,n_reliable,frac_reliable
1.0,146,129,0.8835616438356164
1.5,109,94,0.8623853211009175
2.0,83,73,0.8795180722891566
2.5,64,57,0.890625
3.0,57,51,0.8947368421052632
3.5,50,46,0.92
4.0,47,43,0.9148936170212766
4.5,43,39,0.9069767441860465
5.0,39,35,0.8974358974358975
5.5,38,34,0.8947368421052632
6.0,33,30,0.9090909090909091
6.5,30,28,0.9333333333333333
7.0,30,28,0.9333333333333333
7.5,29,27,0.9310344827586207
8.0,29,27,0.9310344827586207
8.5,29,27,0.9310344827586207
9.0,29,27,0.9310344827586207
9.5,28,26,0.9285714285714286
10.0,27,25,0.9259259259259259
10.5,20,19,0.95
11.0,20,19,0.95
11.5,19,18,0.9473684210526315
12.0,19,18,0.9473684210526315
12.5,19,18,0.9473684210526315
13.0,19,18,0.9473684210526315
13.5,19,18,0.9473684210526315
14.0,19,18,0.9473684210526315
14.5,18,17,0.9444444444444444
15.0,18,17,0.9444444444444444
15.5,18,17,0.9444444444444444
16.0,18,17,0.9444444444444444
16.5,18,17,0.9444444444444444
17.0,18,17,0.9444444444444444
17.5,17,16,0.9411764705882353
18.0,17,16,0.9411764705882353
18.5,17,16,0.9411764705882353
19.0,17,16,0.9411764705882353
19.5,16,15,0.9375
20.0,16,15,0.9375
