date,time,satellite,water_area_km2
1985-01-13,06:48:11,L5,0.1986317647058823
1987-01-03,06:37:14,L5,0.0
1987-02-20,06:38:51,L5,0.0
1987-11-03,06:45:40,L5,0.0153
1987-11-19,06:46:01,L5,0.0720670588235294
1987-12-21,06:46:30,L5,0.0693
1988-02-07,06:47:21,L5,0.0
1988-11-21,06:48:28,L5,0.0
1989-01-08,06:48:08,L5,0.0045
1990-02-28,06:38:56,L5,0.0225
1993-01-19,06:39:33,L5,0.0099
1993-10-18,06:40:02,L5,0.09
1993-11-19,06:39:47,L5,0.0
1994-01-06,06:39:24,L5,0.1229364705882352
1994-01-22,06:39:08,L5,0.2286670588235294
1994-11-06,06:32:46,L5,0.0216
1995-10-24,06:17:44,L5,0.0522
1995-11-09,06:17:20,L5,0.1757470588235294
1995-11-25,06:17:38,L5,0.1047105882352941
1996-10-26,06:37:43,L5,0.0563329411764705
1996-11-11,06:38:29,L5,0.1120764705882353
1996-12-13,06:39:59,L5,0.3448270588235294
1997-12-16,06:52:39,L5,0.6635294117647059
1998-02-18,06:54:03,L5,0.2133
1998-04-07,06:54:45,L5,0.0009
1998-12-03,06:56:49,L5,0.2379564705882352
1998-12-19,06:56:52,L5,0.389615294117647
1999-01-20,06:56:53,L5,0.2588329411764706
1999-02-05,06:57:00,L5,0.0470294117647058
1999-11-04,06:53:57,L5,0.0
1999-11-28,07:10:38,L7,0.0182294117647058
2000-02-08,06:51:59,L5,0.0
2000-02-24,06:51:23,L5,0.0009
2001-02-02,07:08:20,L7,0.0036
2002-02-21,07:06:43,L7,0.1548
2002-12-22,07:06:11,L7,0.0
2003-02-08,07:06:30,L7,0.0
2013-10-09,07:19:45,L8,0.0
2013-10-25,07:19:37,L8,0.0
2013-11-10,07:19:36,L8,0.0063
2013-12-28,07:19:17,L8,0.1872
2014-01-13,07:19:03,L8,0.1919329411764706
2014-03-02,07:18:28,L8,0.0054
2014-03-18,07:18:19,L8,0.0009
2014-09-26,07:17:57,L8,0.0
2014-10-12,07:18:05,L8,0.0
2014-10-28,07:18:02,L8,0.0
2014-11-13,07:18:05,L8,0.0017717647058823
2014-12-15,07:17:58,L8,0.1999129411764706
2014-12-31,07:17:53,L8,0.2377270588235294
2015-01-16,07:17:53,L8,0.0
2015-02-01,07:17:49,L8,0.0009
2015-02-17,07:17:40,L8,0.0
2015-03-05,07:17:35,L8,0.0
2015-12-02,07:18:00,L8,0.1802682352941176
2015-12-18,07:18:00,L8,0.0
2016-01-19,07:17:57,L8,0.0414
2016-02-04,07:17:54,L8,0.0333
2016-02-20,07:17:45,L8,0.0252
2016-04-24,07:17:22,L8,0.2016
2016-10-17,07:18:12,L8,0.0
2016-11-02,07:18:13,L8,0.0098717647058823
2016-11-18,07:18:12,L8,0.0695294117647058
2016-12-04,07:18:11,L8,0.0236294117647058
2016-12-20,07:18:06,L8,0.0
2017-01-05,07:18:04,L8,0.1134423529411764
2017-10-04,07:18:07,L8,0.0
2017-10-20,07:18:10,L8,0.0
2017-12-23,07:18:03,L8,0.2669999999999999
2018-01-24,07:17:50,L8,0.0
2018-02-09,07:17:42,L8,0.0099
2018-03-29,07:17:20,L8,0.1008
2018-10-23,07:17:45,L8,0.0
2018-11-08,07:17:48,L8,0.0
2018-12-10,07:17:45,L8,0.1497670588235294
2018-12-26,07:17:44,L8,0.1562294117647058
2019-09-20,07:33:27,Sentinel-2A,0.0
2019-09-24,07:18:11,L8,0.0
2019-10-10,07:18:15,L8,0.0
2019-10-26,07:18:16,L8,0.0036
2019-11-27,07:18:11,L8,0.0
