date,time,scene_cloud_cover_%,aoi_cloud_cover_%,water_area_km2
1984-06-06,07:16:31,0.0,0.0,0.0072
1984-06-22,07:16:46,0.0,0.0,0.0
1984-09-10,07:18:28,7.0,7.0,0.0
1984-10-12,07:18:27,3.0,3.0,0.0
1984-10-28,07:18:22,0.0,0.0,0.0018
1984-11-29,07:18:16,0.0,0.0,0.02962588235294118
1984-12-31,07:18:36,13.0,0.3017890938851314,0.007111764705882353
1985-02-01,07:18:46,3.0,3.0,0.5124741176470587
1985-02-17,07:18:48,0.0,0.0,0.5001705882352943
1986-01-03,07:15:59,2.0,0.07525054003328732,0.02071058823529412
1986-02-20,07:14:56,0.0,0.0,0.05487529411764706
1986-06-28,07:11:42,0.0,0.0,0.0
1986-08-15,07:10:01,3.0,3.0,0.0018
1986-09-16,07:08:53,0.0,0.0,0.0009
1987-01-22,07:08:16,0.0,0.0,0.1563070588235294
1987-02-07,07:08:51,35.0,70.42043903034022,0.23098941176470597
1987-03-11,07:10:05,0.0,0.0,0.0072
1987-03-27,07:10:40,0.0,0.0,0.0393529411764706
1987-04-12,07:11:12,0.0,0.0,0.0
1987-04-28,07:11:42,12.0,45.610188431286936,0.0009
1987-05-14,07:12:09,40.0,99.89966594662228,0.45254470588235296
1987-06-15,07:12:56,0.0,0.0,0.41360117647058825
1987-07-01,07:13:16,0.0,0.0,0.3812294117647059
1987-07-17,07:13:34,0.0,0.0,0.0054
1987-10-05,07:15:39,0.0,0.0,0.0027
1987-10-21,07:15:55,0.0,0.0,0.08338588235294117
1987-11-22,07:16:35,16.0,16.0,0.1798870588235294
1987-12-24,07:17:03,0.0,0.0,0.46109294117647043
1988-01-09,07:17:19,39.0,91.8102820764034,0.18171176470588235
1988-01-25,07:17:37,5.0,5.0,0.1088364705882353
1988-02-10,07:17:54,0.0,0.0,0.050604705882352934
1988-03-29,07:18:24,15.0,15.0,0.03676941176470588
1988-04-14,07:18:28,17.0,17.0,0.0
1988-04-30,07:18:34,0.0,0.0,0.0
1988-05-16,07:18:45,66.0,66.0,0.0
1988-06-01,07:18:52,0.0,0.0,0.0
1988-07-03,07:19:02,0.0,0.0,0.0
1988-07-19,07:19:05,0.0,0.0,0.0
1988-08-04,07:19:06,0.0,0.0,0.0
1988-08-20,07:19:07,0.0,0.0,0.0
