threshold_mcm,n_above,n_reliable,frac_reliable
1.0,118,100,0.847457627118644
1.5,86,73,0.8488372093023255
2.0,71,62,0.8732394366197183
2.5,54,48,0.8888888888888888
3.0,47,42,0.8936170212765957
3.5,41,37,0.9024390243902439
4.0,39,35,0.8974358974358975
4.5,35,31,0.8857142857142857
5.0,32,28,0.875
5.5,32,28,0.875
6.0,28,25,0.8928571428571429
6.5,26,24,0.9230769230769231
7.0,26,24,0.9230769230769231
7.5,26,24,0.9230769230769231
8.0,26,24,0.9230769230769231
8.5,26,24,0.9230769230769231
9.0,26,24,0.9230769230769231
9.5,25,23,0.92
10.0,24,22,0.9166666666666666
10.5,18,16,0.8888888888888888
11.0,18,16,0.8888888888888888
11.5,18,16,0.8888888888888888
12.0,18,16,0.8888888888888888
12.5,18,16,0.8888888888888888
13.0,18,16,0.8888888888888888
13.5,18,16,0.8888888888888888
14.0,18,16,0.8888888888888888
14.5,17,15,0.8823529411764706
15.0,17,15,0.8823529411764706
15.5,17,15,0.8823529411764706
16.0,17,15,0.8823529411764706
16.5,17,15,0.8823529411764706
17.0,17,15,0.8823529411764706
17.5,16,14,0.875
18.0,16,14,0.875
18.5,16,14,0.875
19.0,16,14,0.875
19.5,15,13,0.8666666666666667
20.0,15,13,0.8666666666666667
