dam_id,dam_name,dam_name_arabic,latitude,longitude,region,governorate,watershed_basin,watershed_basin_2,dam_type,status,primary_purpose,current_purpose,dam_length_m,dam_height_m,spillway_height_m,storage_capacity_m3,construction_year
id_010000,Al-Hariqah,الحريقه,24.757882,46.527667,Riyadh,Al-Diriyah,Eastern Region Basin,,earthfill,completed,recharge,protection,190.0,6.0,4.0,80000,1970
id_010001,Tamir,تمير,25.710225,45.827694,Riyadh,Al-Majamah,Eastern Region Basin,,earthfill,completed,recharge,protection,230.0,5.5,4.0,61523,2011
id_010002,Shi'b Al-Qasr Al-Asfal,شعب القصر الاسفل,25.153833,46.267694,Riyadh,Huraymila,Eastern Region Basin,,concrete,completed,recharge,protection,164.0,6.5,5.0,91170,2008
id_010003,Al-Manih,المانح,25.067531,45.450892,Riyadh,Marat,Eastern Region Basin,,earthfill,completed,recharge,protection,100.0,6.0,4.0,100000,1980
id_010004,Qabiban,قبيبان,23.483889,45.536389,Riyadh,Al-Rain,Wadi Hanifah Basin,,earthfill,completed,recharge,protection,630.0,5.0,3.0,128442,2012
id_010005,Al-Ashr,العشر,25.240986,45.211788,Riyadh,Shaqra,Eastern Region Basin,,earthfill,completed,recharge,protection,173.0,6.5,5.0,101387,2013
id_010006,Al-Dahinah,الداهنة,25.608753,45.290367,Riyadh,Shaqra,Eastern Region Basin,,concrete,completed,recharge,protection,70.0,11.0,9.0,116640,2009
id_010007,Al-Anbari,العنبرى,25.195278,45.277333,Riyadh,Shaqra,Eastern Region Basin,,concrete,completed,recharge,protection,50.0,8.0,6.0,110000,1982
id_010008,Al-Ghadir,الغدير,25.22936,45.226406,Riyadh,Shaqra,Eastern Region Basin,,earthfill,completed,recharge,protection,161.0,6.0,4.0,119000,2010
id_010010,Al-Khalif,الخليف,25.28749,45.174242,Riyadh,Shaqra,Eastern Region Basin,,earthfill,completed,recharge,protection,152.0,7.0,5.0,147368,2012
id_010011,Al-Mahdiyah,المهديه,24.662778,46.427778,Riyadh,Riyadh,Eastern Region Basin,,earthfill,completed,recharge,protection,102.0,12.0,10.0,150000,2003
id_010012,Al-Fawarah,الفوارة,23.280191,45.236743,Riyadh,Al-Rain,Wadi Hanifah Basin,,earthfill,completed,recharge,protection,370.0,5.0,3.0,164000,2012
id_010014,Al-Hafirah,الحفيره,22.824444,44.954722,Riyadh,Al-Rain,Wadi Hanifah Basin,,earthfill,completed,recharge,recharge,400.0,8.0,6.0,170000,2003
id_010015,Malham,ملهم,25.143333,46.240556,Riyadh,Huraymila,Eastern Region Basin,,rockfill,completed,recharge,protection,100.0,5.0,4.0,200000,1970
id_010016,Mazwiyah,مزوى,23.25,44.65,Riyadh,Al-Rain,Wadi Hanifah Basin,,concrete,completed,recharge,protection,50.0,8.0,6.0,45800,1985
id_010017,Halifah Al-Musa'id,حليفه المساعد,25.126667,45.371556,Riyadh,Marat,Eastern Region Basin,,concrete,completed,recharge,protection,50.0,5.0,3.0,200000,1985
id_010018,Mahiraqah,محيرقة,23.951111,45.075833,Riyadh,Al-Qawiyah,Wadi Hanifah Basin,,earthfill,completed,recharge,recharge,166.0,6.0,4.0,202838,2008
