dam_id,dam_name,owe_mm_year
id_010003,Al-Manih,2494.2
id_010004,Qabiban,2560.9
id_010005,Al-Ashr,2496.7
id_010006,Al-Dahinah,2479.6
id_010007,Al-Anbari,2494.2
id_010008,Al-Ghadir,2496.7
id_010009,Abu Rukhab,2524.3
id_010010,Al-Khalif,2492.7
id_010011,Al-Mahdiyah,2522.2
id_010012,Al-Fawarah,2546.6
id_010013,Al-Khur'iyah,2543.3
id_010014,Al-Hafirah,2579.0
id_010015,Malham,2501.9
id_010017,Halifah Al-Musa'id,2494.2
id_010018,Mahiraqah,2514.9
id_010019,Marqan,2513.8
id_010020,Al-Shahmah,2461.7
id_010021,Al-Ruwaydah,2534.2
id_010022,Athitiyah,2494.2
id_010023,Al-Qaltah,2515.7
id_010024,Marat,2494.2
id_010025,Sudus,2512.9
id_010027,Al-Bair,2501.2
id_010028,Haradah,2579.7
id_010030,Bawdah,2470.1
id_010031,Tamrah,2641.8
id_010032,Anan,2514.9
id_010033,Al-Artawiyah,2455.5
id_010034,Al-Khaniqiyah,2519.1
id_010035,Khanqat 'Arwah,2513.0
id_010036,Al-Hadar,2602.4
id_010037,Al-Jufir,2545.1
id_010038,Al-Fahihal,2479.6
id_010039,Al-Rayn Bin 'Asaylan,2531.1
id_010040,Warat,2489.2
id_010041,Salabawakh,2497.2
id_010042,Al-'Afaj,2550.3
id_010043,Al-'Ayinah,2508.8
id_010044,Al-Ghat,2483.5
id_010045,Hawatah Sadir,2475.0
id_010046,Al-Wasi'ah,2483.5
id_010047,Al-Manhanah,2492.7
id_010048,Al-Sha'arah,2532.7
id_010050,Al-Ha'ir Bin Al-Majma'ah,2479.6
id_010051,Al-Hariq Bin Al-Washam,2490.1
id_010052,Namar,2520.2
id_010053,Hanifah,2520.2
id_010054,Al-Shamam,2514.9
id_010055,Al-Nasaq,2514.9
id_010056,Dharmah,2520.9
id_010057,Al-Qawi'ah,2515.7
id_010058,Hadijah,2525.1
id_010059,Al-Muzayri'ah,2508.8
id_010060,Lasad,2536.8
id_010061,Jalajil,2479.6
id_010062,Al-Khanqah,2513.8
id_010063,Laban,2520.2
id_010064,Thadiq,2501.2
id_010065,Al-Ahmar,2583.4
id_010066,Harimilah,2501.9
id_010067,Al-Matirafi'ah,2522.2
id_010068,Al-Rawdah,2475.0
id_010069,Al-Hanabij,2536.0
id_010070,Hawtat Bani Tamim,2553.6
id_010071,Al-Ha'ir,2529.9
id_010072,Al-Hariq,2546.3
id_010073,Al-Halwah,2552.4
id_010075,Al-Jafnah,2541.2
id_010076,Isam,2513.1
id_010077,Al-Ma'idhar,2475.8
id_010078,Al-Rimah,2496.7
id_010080,Al-Tamriyah,2479.4
id_010081,Hajilah,2537.4
id_010082,Safar,2520.2
id_010083,Ashirah,2475.0
id_010084,Al-Halifah,2494.2
id_010085,Al-Sadarih,2533.0
id_010086,Al-Sadirah Am Nakhlah,2477.0
id_010087,Al-Haysiyah,2512.9
id_010088,Sh'ib Al-Isar,2641.8
id_010089,Al-Thumaylah,2496.0
id_010090,Al-Barah,2508.6
id_010091,Al-Majma'ah,2475.8
id_010092,Al-Safrat,2501.9
id_010093,Samnan,2477.0
id_010094,Al-Ghil,2572.9
id_010095,Al-Alab,2520.2
id_010096,Al-Mushaqar,2475.8
id_010098,Abaraqih,2547.0
id_010099,Jawi,2491.7
id_010100,Al-Ananiyah,2475.0
id_010101,Raghbah,2501.2
id_010102,Al-Kalbi,2475.8
id_010106,Ruwaighib,2484.9
id_010109,Al-Shu'bah,2501.9
id_010112,Al-Khadar,2515.7
id_010114,Samanan Al-Tad'imi,2477.0
id_020000,Marikh,2535.6
id_020001,Ghaya,2535.6
id_020002,Am Hablayn,2519.6
id_020003,Daghbaj,2519.6
id_020004,Burayman,2519.6
id_020005,Ghulail Al-Shamali,2486.4
id_020015,Turabah,2566.3
id_020016,Turabah Al-Jawfi,2520.9
id_020017,Al-Marwani,2551.8
id_020018,Rabigh,2560.7
id_020019,Hali,2458.1
id_020020,Al-Naqabiyah,2588.9
