date,time,satellite,water_area_km2
2008-03-12,07:38:54,L7,0.0009
2009-09-07,07:38:56,L7,0.0009
2009-09-23,07:38:54,L7,0.0
2009-10-09,07:38:48,L7,0.0027
2010-07-24,07:40:59,L7,0.3033
2011-02-17,07:42:13,L7,2.9079
2011-09-13,07:42:02,L7,2.4714
2011-10-15,07:42:02,L7,2.6406
2012-01-03,07:42:47,L7,2.6712
2012-08-14,07:43:53,L7,2.1438
2012-08-30,07:44:02,L7,2.0808
2012-10-17,07:44:31,L7,2.0439
2012-12-04,07:44:44,L7,3.18757411764706
2013-04-11,07:44:47,L7,3.5649
2013-04-19,07:50:34,L8,3.5055
2013-06-22,07:50:40,L8,3.3327
2013-10-04,07:44:37,L7,2.9115
2013-10-20,07:44:49,L7,2.6649
2013-11-05,07:44:53,L7,2.7765
2013-11-21,07:44:57,L7,2.7306
2013-12-23,07:45:09,L7,2.6937
2014-02-01,07:49:50,L8,3.2058
2014-02-09,07:45:37,L7,2.9934
2014-02-17,07:49:36,L8,3.186321176470588
2014-02-25,07:45:29,L7,3.1914
2014-03-05,07:49:20,L8,3.1779
2014-03-13,07:45:36,L7,3.2319
2014-03-29,07:45:43,L7,3.1761
2014-04-14,07:45:49,L7,3.2067
2014-04-30,07:45:59,L7,3.0933
2014-05-16,07:46:06,L7,2.8404
2014-06-17,07:46:09,L7,2.5227
2014-07-03,07:46:16,L7,2.4975
2014-07-19,07:46:18,L7,2.3328
2014-08-04,07:46:25,L7,2.5461
2014-09-05,07:46:25,L7,2.6262
2014-09-21,07:46:29,L7,2.4885
2014-10-07,07:46:42,L7,2.4039
2014-10-23,07:46:51,L7,2.3985
2014-11-08,07:47:00,L7,2.2554
2014-12-02,07:48:57,L8,2.4363
2014-12-18,07:48:53,L8,2.5533
2014-12-26,07:47:17,L7,3.522568235294118
2015-01-03,07:48:48,L8,2.6307
2015-01-11,07:47:20,L7,2.6226
2015-01-19,07:48:45,L8,2.3895
2015-01-27,07:47:24,L7,2.3535
2015-02-04,07:48:42,L8,2.5263
2015-02-12,07:47:25,L7,2.5785
2015-02-28,07:47:37,L7,2.403
2015-03-16,07:47:44,L7,2.4948
2015-04-01,07:47:50,L7,2.4435
2015-06-28,07:48:07,L8,2.1447
2015-09-24,07:48:44,L7,2.0601
2015-10-02,07:48:47,L8,2.178
2015-10-10,07:48:52,L7,2.1168
2015-10-18,07:48:48,L8,2.151
2015-11-11,07:49:24,L7,1.8855
2015-11-27,07:49:38,L7,2.7981
2016-01-06,07:48:50,L8,2.0133
2016-01-14,07:50:23,L7,2.5461
2016-01-30,07:50:33,L7,2.355508235294117
2016-02-07,07:48:47,L8,2.5569
2016-02-15,07:50:38,L7,2.5245
2016-02-23,07:48:39,L8,2.529
2016-03-02,07:50:44,L7,2.4858
2016-03-18,07:50:53,L7,2.506821176470588
2016-04-27,07:48:19,L8,2.5902
2016-05-05,07:51:09,L7,2.6703
2016-05-13,07:48:18,L8,2.6379
2016-05-21,07:51:11,L7,2.5371
2016-05-29,07:48:25,L8,2.6559
2016-06-22,07:51:20,L7,2.2779
2016-07-08,07:51:19,L7,2.3427
2016-09-10,07:51:28,L7,2.2122
2016-10-20,07:49:06,L8,2.1321
2016-11-13,07:51:19,L7,2.1006
2016-12-07,07:49:04,L8,2.3004
2016-12-15,07:51:12,L7,2.2923
2016-12-23,07:49:00,L8,2.1546
2016-12-31,07:51:05,L7,3.439729411764706
2017-01-24,07:48:52,L8,2.2716
2017-02-17,07:50:44,L7,2.0313
2017-03-05,07:50:52,L7,2.2005
2017-04-06,07:51:02,L7,1.8477
2017-05-02,08:03:40,Sentinel-2A,1.8504
2017-09-29,07:51:21,L7,1.4949
2017-10-15,07:51:24,L7,1.5246
2017-10-31,07:51:24,L7,1.5021
2017-11-16,07:51:21,L7,1.4985
2017-12-02,07:51:15,L7,3.916316470588234
2017-12-18,07:51:06,L7,1.5048
2018-01-07,08:03:30,Sentinel-2A,1.6022717647058824
2018-02-12,07:48:35,L8,1.6326
2018-02-20,07:50:14,L7,1.7199
2018-02-28,07:48:28,L8,1.7856
2018-03-08,07:50:03,L7,1.8522
2018-03-16,07:48:19,L8,1.8207
2018-03-18,08:03:34,Sentinel-2A,1.826597647058824
2018-03-24,07:49:51,L7,1.7433
2018-04-07,08:03:38,Sentinel-2A,1.7644976470588234
2018-04-09,07:49:36,L7,1.6848
2018-04-25,07:49:20,L7,1.5399
2018-05-07,08:03:40,Sentinel-2A,1.707790588235294
2018-06-12,07:48:31,L7,1.4274
2018-06-16,08:03:37,Sentinel-2A,1.624097647058823
2018-08-15,07:47:20,L7,1.5516
2018-10-02,07:46:17,L7,1.4301
2018-10-10,07:48:34,L8,1.4274
2018-10-14,08:03:35,Sentinel-2A,1.4868
2018-10-26,07:48:39,L8,1.5912
2018-12-18,08:03:33,Sentinel-2B,3.477197647058824
2018-12-21,07:44:19,L7,3.1455
2018-12-23,08:03:30,Sentinel-2A,3.755297647058824
2019-01-12,08:03:34,Sentinel-2A,3.553690588235294
2019-01-17,08:03:38,Sentinel-2B,3.6533152941176392
2019-01-22,07:43:19,L7,3.2958
2019-01-27,08:03:38,Sentinel-2B,3.721090588235296
2019-02-01,08:03:35,Sentinel-2A,3.951
2019-02-06,08:03:38,Sentinel-2B,3.678797647058824
2019-02-11,08:03:35,Sentinel-2A,3.798903529411757
2019-02-16,08:03:38,Sentinel-2B,3.658990588235294
2019-03-03,07:48:26,L8,3.5316
2019-03-08,08:03:35,Sentinel-2B,3.610835294117646
2019-03-23,08:03:36,Sentinel-2A,3.7201905882352944
2019-03-27,07:41:18,L7,3.4911
2019-03-28,08:03:39,Sentinel-2B,3.737290588235296
2019-04-02,08:03:38,Sentinel-2A,3.7692
2019-04-04,07:48:17,L8,3.7008
2019-04-07,08:03:42,Sentinel-2B,3.8335905882352943
2019-04-12,07:40:45,L7,3.4515
2019-04-17,08:03:44,Sentinel-2B,3.8403
2019-04-20,07:48:11,L8,3.7197
2019-04-22,08:03:41,Sentinel-2A,3.687797647058824
2019-04-27,08:03:45,Sentinel-2B,3.6891
2019-04-28,07:40:09,L7,3.4065
2019-05-07,08:03:46,Sentinel-2B,3.6468
2019-05-27,08:03:47,Sentinel-2B,3.6225
2019-06-06,08:03:46,Sentinel-2B,3.5145
2019-06-15,07:38:22,L7,3.1419
2019-06-21,08:03:42,Sentinel-2A,3.406090588235294
