dam_id,dam_name,capacity_mcm,c,b,source
id_010000,Al-Hariqah,0.08,0.003069291344594019,1.5558517322403753,regi_multi
id_010001,Tamir,0.061523,0.1677328131138925,1.1603075885832999,srtm_derived
id_010002,Shi'b Al-Qasr Al-Asfal,0.09117,0.003192460911392491,1.5558517322403753,regi_multi
id_010003,Al-Manih,0.1,0.002976290258253214,1.5558517322403753,regi_multi
id_010004,Qabiban,0.128442,0.0037395714531308706,1.5558517322403753,regi_multi
id_010005,Al-Ashr,0.101387,0.0024765603618740603,1.5558517322403753,regi_multi
id_010006,Al-Dahinah,0.11664,0.006563752874181248,1.5558517322403753,regi_multi
id_010007,Al-Anbari,0.11,0.0021038178631206743,1.5558517322403753,regi_multi
id_010008,Al-Ghadir,0.119,0.45324998362633057,1.1145556374960859,srtm_derived
id_010010,Al-Khalif,0.147368,0.0034741000655859676,1.5558517322403753,regi_multi
id_010011,Al-Mahdiyah,0.15,0.0009973226467487608,1.728036934151059,srtm_derived
id_010012,Al-Fawarah,0.164,0.6331162180835436,1.1,srtm_derived
id_010014,Al-Hafirah,0.17,0.004755322227920338,1.5476771165688261,srtm_derived
id_010015,Malham,0.2,0.006948570575859841,1.5827008437202748,srtm_derived
id_010016,Mazwiyah,0.0458,0.001799175386672739,1.5558517322403753,regi_multi
id_010017,Halifah Al-Musa'id,0.2,0.00029455540172806255,1.859683090775414,srtm_derived
id_010018,Mahiraqah,0.202838,0.34616871336556937,1.1395446862676057,srtm_derived
id_010019,Marqan,0.219537,0.0003226374555229048,1.7352350517205313,srtm_derived
id_010020,Al-Shahmah,0.219617,0.024285005291110894,1.3472368633759957,srtm_derived
id_010021,Al-Ruwaydah,0.14857,0.3827644900018189,1.1,srtm_derived
id_010022,Athitiyah,0.25,0.0020497082601627532,1.5558517322403753,regi_multi
id_010023,Al-Qaltah,0.13554,0.004249161941452299,1.5558517322403753,regi_multi
id_010024,Marat,0.4,0.06204288926315192,1.3136017494622627,srtm_derived
id_010025,Sudus,0.4,0.5491275918178883,1.1,srtm_derived
id_010026,Al-Raziwah,0.441675,0.5405128002098493,1.1,srtm_derived
id_010027,Al-Bair,0.441906,2.0321298220724215e-05,2.0,srtm_derived
id_010028,Haradah,0.4478,0.00010101717890232579,1.7617015175514346,srtm_derived
id_010029,Al-Jazar,0.040365,0.0024888777753794738,1.5558517322403753,regi_multi
id_010030,Bawdah,0.13,0.2381357020644832,1.1581677914097148,srtm_derived
id_010031,Tamrah,0.47352,0.007279142806668578,1.4858422804653642,srtm_derived
id_010033,Al-Artawiyah,0.607143,0.017798847966462368,1.3946287567098719,srtm_derived
id_010034,Al-Khaniqiyah,0.6782,0.017273925954913182,1.425568829718852,srtm_derived
id_010035,Khanqat 'Arwah,0.680143,0.16975002264725558,1.185731052032946,srtm_derived
id_010036,Al-Hadar,1.9,6.777853135141121e-06,1.9974565730483405,srtm_derived
id_010037,Al-Jufir,0.575625,0.04610655203282845,1.276631799929617,srtm_derived
id_010038,Al-Fahihal,0.801985,2.803794438609423e-05,2.0,srtm_derived
id_010039,Al-Rayn Bin 'Asaylan,0.826156,3.6159010005230785e-05,2.0,srtm_derived
id_010040,Warat,0.881307,0.003557942513570557,1.4926728895743995,srtm_derived
id_010041,Salabawakh,0.9312,0.0024288275553901425,1.5611572831809106,srtm_derived
id_010042,Al-'Afaj,0.963524,0.08745175542506503,1.2429638400801735,srtm_derived
id_010043,Al-'Ayinah,0.1,0.5502037707697972,1.1,srtm_derived
id_010044,Al-Ghat,1.0,0.1541605711383728,1.2376732098225485,srtm_derived
id_010045,Hawatah Sadir,1.0,0.7661927083053667,1.1,srtm_derived
id_010046,Al-Wasi'ah,0.1,0.010479448581482082,1.4699769024533302,srtm_derived
id_010049,Al-Maliyah,0.061,0.3567955451562562,1.1,srtm_derived
id_010050,Al-Ha'ir Bin Al-Majma'ah,1.0,0.005734154037534758,1.5018464661411906,srtm_derived
id_010051,Al-Hariq Bin Al-Washam,0.5,0.4744304506882,1.104774409017271,srtm_derived
id_010052,Namar,1.5,0.0021919152743849753,1.5558517322403753,regi_multi
id_010053,Hanifah,1.4,0.002385534322023619,1.5558517322403753,regi_multi
id_010054,Al-Shamam,1.5,0.014653948672545205,1.478679176191297,srtm_derived
id_010055,Al-Nasaq,1.5,3.265881448315302e-05,2.0,srtm_derived
id_010056,Dharmah,1.5,0.0018633758406763636,1.5125416028018046,srtm_derived
id_010057,Al-Qawi'ah,1.5,0.13963386548958265,1.217915226210579,srtm_derived
id_010058,Hadijah,1.2,0.5093785849720472,1.1,srtm_derived
id_010059,Al-Muzayri'ah,0.39,0.008087429250373182,1.4769080095773772,srtm_derived
id_010060,Lasad,1.5,0.0039925029478561054,1.5638405725393725,srtm_derived
id_010061,Jalajil,1.75,0.16384920964335264,1.2189023100412757,srtm_derived
id_010062,Al-Khanqah,1.9325,0.1445102193896792,1.2518901900313075,srtm_derived
id_010063,Laban,2.0,0.0446765886040234,1.32417346568872,srtm_derived
id_010064,Thadiq,2.0,0.0023078181888623933,1.5558517322403753,regi_multi
id_010065,Al-Ahmar,2.39445,0.13662828104507824,1.1991301461504769,srtm_derived
id_010066,Harimilah,1.5,0.12474048251487645,1.2703995325393505,srtm_derived
id_010067,Al-Matirafi'ah,0.14,0.4529359976334791,1.1,srtm_derived
id_010068,Al-Rawdah,3.0,0.0951828913912274,1.2471046004788635,srtm_derived
id_010069,Al-Hanabij,1.5,0.0016044310783208454,1.5558517322403753,regi_multi
id_010070,Hawtat Bani Tamim,9.056604,0.019956755360720942,1.3467203889962431,srtm_derived
id_010071,Al-Ha'ir,3.8,0.005361313001006168,1.4924809073115841,srtm_derived
id_010072,Al-Hariq,6.0,0.0655274560807635,1.2552058029198756,srtm_derived
id_010073,Al-Halwah,10.0,3.044407929112805e-05,1.8408894407112064,srtm_derived
id_010074,Ghubaira,0.09,0.0021421983810721457,1.5558517322403753,regi_multi
id_010075,Al-Jafnah,0.1,0.001182990364553647,1.5987634854657122,srtm_derived
id_010076,Isam,0.126,3.728741904163059e-05,2.0,srtm_derived
id_010077,Al-Ma'idhar,0.187701,0.01874119547950519,1.3933098072915393,srtm_derived
id_010078,Al-Rimah,0.2,0.012168656922425955,1.424022362239458,srtm_derived
id_010079,Al-Buq,0.221459,3.773092877914264e-05,2.0,srtm_derived
