dam_id,dam_name,reason,detail,capacity_mcm,dam_height_m,spillway_height_m,dam_length_m,upstream_area_km2,construction_year,valley_width_m,valley_ratio,channel_slope,mean_catchment_slope
id_010007,Al-Anbari,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.11,8.0,6.0,50.0,20.40838204,1982.0,764.5394091625869,127.42323486043115,0.013282489657202513,0.05302128568291664
id_010016,Mazwiyah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.0458,8.0,6.0,50.0,9.141303135,1985.0,3256.6789820328663,542.779830338811,0.00544119745174726,0.0686907023191452
id_010064,Thadiq,bad_fill_auto,"bad_fill_auto: Flood centroid ratio 3.04 > 2.5 (cdist=105 px, n_px=1186); fill displaced",2.0,6.0,4.0,850.0,4.019643202,1976.0,352.7909564845636,88.1977391211409,0.004192091387354009,0.0779508650302887
id_010084,Al-Halifah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.4,12.0,10.0,110.0,17.36189895,1982.0,1470.637919804954,147.0637919804954,0.020199878055543942,0.04079049080610275
id_010085,Al-Sadarih,fit_failed,Power-law fit returned NaN (n_pixels=9),0.3,4.0,4.0,150.0,10.91063281,1982.0,118.22534059652344,29.55633514913086,0.004826333853799049,0.11293055862188339
id_020058,Wadi Fatimah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",20.0,18.0,15.0,1428.0,3104.375427,1984.0,624.8771352973155,41.6584756864877,0.014824015093958889,0.2246866375207901
id_020066,Hawajiz Al-Dab'ah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.04,4.0,4.0,127.0,61.44915338,2013.0,59.76233019871482,14.940582549678705,0.05695391812711335,0.25794410705566406
id_030012,Al-Ghab,bad_fill_auto,"bad_fill_auto: Flood centroid ratio 2.80 > 2.5 (cdist=70 px, n_px=618); fill displaced",1.0,11.0,8.9,650.0,43773.65447,1978.0,500.9085179994661,56.28185595499619,0.025449549472731495,0.23464557528495789
id_030037,Qusayba' Al-Tad'imi,bad_fill_auto,"bad_fill_auto: Flood centroid ratio 2.95 > 2.5 (cdist=48 px, n_px=270); fill displaced",0.224127,6.5,4.0,192.0,578.544809,2015.0,147.14319818564425,36.78579954641106,0.0011827651213428014,0.07365524768829346
id_030039,Al-Aqul Al-Hajari,bad_fill_auto,bad_fill_auto: Volume fraction 0.00 < 0.20 (~0.1 vs 17.0 MCM); fill too small,17.0,4.5,3.0,200.0,16.70163209,1950.0,265.48178804225887,88.49392934741962,0.030856871998743332,0.13885389268398285
id_040015,Al-Rummah,fit_failed,Power-law fit returned NaN (n_pixels=1117),1.5,7.0,4.0,700.0,84011.60091,1977.0,439.49611839401314,109.87402959850328,0.0006474673732880911,0.045919694006443024
id_070038,Ru'am,bad_fill_auto,bad_fill_auto: Volume fraction 0.20 < 0.20 (~0.3 vs 1.5 MCM); fill too small,1.5,16.0,13.0,57.0,66.25511687,1985.0,361.02339162278844,27.77103012482988,0.04990542400629467,0.22460860013961792
id_070075,Sarabah,bad_fill_auto,bad_fill_auto: Volume fraction 0.12 < 0.20 (~0.1 vs 1.0 MCM); fill too small,1.0,18.0,15.0,170.0,6.199291972,1984.0,240.15946928048027,16.010631285365353,0.06056534693077032,0.12772667407989502
id_070078,Anam,bad_fill_auto,bad_fill_auto: Volume fraction 0.17 < 0.20 (~0.3 vs 2.0 MCM); fill too small,2.0,21.0,18.0,120.0,4.085795007,1984.0,240.6857633438464,13.371431296880354,0.03390613973806138,0.27382928133010864
id_080026,Al-Aja'idah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.1519,8.0,10.0,120.0,4.906162807,2008.0,119.76833231970325,11.976833231970325,0.07174634851671743,0.16323445737361908
id_080035,Al-Haliyah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.23,6.0,3.0,162.0,4.079609821,1997.0,119.81504573849074,39.93834857949691,0.2804202590703238,0.42452263832092285
id_080047,Dabdab,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.03,12.0,10.0,38.0,4.891155335,1983.0,149.60229001052323,14.960229001052323,0.04681036919432841,0.2363082766532898
id_080049,Al-Afarah,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.15,8.0,5.0,60.0,6.009506233,2002.0,89.88109290517701,17.976218581035404,0.0607508164361019,0.35827958583831787
id_090004,Al-Ratiq,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.106,12.0,9.5,40.0,10.78346508,2003.0,145.95380831523576,15.363558770024817,0.008164632757244295,0.21803419291973114
id_090008,Al-Mudih,bad_fill_auto,"bad_fill_auto: Flood centroid ratio 2.84 > 2.5 (cdist=25 px, n_px=75); fill displaced",0.107662,5.0,3.0,340.0,7.034355089,2008.0,146.25700198272725,48.75233399424241,0.006064398309071539,0.1077394038438797
id_090031,Al-Shaqiq,bad_fill_auto,bad_fill_auto: Volume fraction 0.03 < 0.20 (~0.1 vs 2.0 MCM); fill too small,2.0,6.5,4.0,310.0,530.7972687,2009.0,292.0335991179378,73.00839977948445,0.011281924643089981,0.18491384387016296
id_120005,Qasi,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",15.1,25.0,22.5,1044.0,267.3423914,2018.0,2472.9910435135844,109.9107130450482,0.006361547751882665,0.045036111027002335
id_120014,Shahdan,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",2.5,40.0,35.0,689.0,100.1460919,,12056.326084381073,344.4664595537449,0.006040986060948378,0.05813930556178093
id_130016,(Surum) Halal,placement_failed,"placement_failed: no valid flood fill after extension, upstream search (0–100 px along walk), and fallback",0.58563,12.0,12.0,222.0,311.5019465,2008.0,240.87623099051373,20.073019249209477,0.02516970668029154,0.35915711522102356
